corruption,seed,clean_risk,endpoint_risk,endpoint_risk_increase,crossed_headroom_0_15
gaussian_noise,31,0.3238,0.7165,0.39270000000000005,True
gaussian_noise,47,0.3347,0.7013,0.36660000000000004,True
gaussian_noise,61,0.3349,0.7295,0.39460000000000006,True
shot_noise,31,0.3238,0.7041,0.38029999999999997,True
shot_noise,47,0.3347,0.6741,0.33940000000000003,True
shot_noise,61,0.3349,0.7103,0.37540000000000007,True
impulse_noise,31,0.3238,0.7843,0.4605,True
impulse_noise,47,0.3347,0.7469,0.4122,True
impulse_noise,61,0.3349,0.7399,0.405,True
defocus_blur,31,0.3238,0.6019,0.2781,True
defocus_blur,47,0.3347,0.5851,0.25039999999999996,True
defocus_blur,61,0.3349,0.6125,0.27760000000000007,True
glass_blur,31,0.3238,0.5404,0.21660000000000001,True
glass_blur,47,0.3347,0.4976,0.1629,True
glass_blur,61,0.3349,0.5797,0.24480000000000002,True
motion_blur,31,0.3238,0.5915,0.26770000000000005,True
motion_blur,47,0.3347,0.5948,0.2601,True
motion_blur,61,0.3349,0.5899,0.255,True
zoom_blur,31,0.3238,0.5711,0.24730000000000008,True
zoom_blur,47,0.3347,0.5587,0.22399999999999998,True
zoom_blur,61,0.3349,0.5816,0.24670000000000003,True
snow,31,0.3238,0.5372,0.21340000000000003,True
snow,47,0.3347,0.5338,0.19910000000000005,True
snow,61,0.3349,0.5628,0.2279,True
frost,31,0.3238,0.6214,0.2976,True
frost,47,0.3347,0.5909,0.2562,True
frost,61,0.3349,0.6566,0.3217,True
fog,31,0.3238,0.7134,0.38960000000000006,True
fog,47,0.3347,0.7215,0.38680000000000003,True
fog,61,0.3349,0.7154,0.38050000000000006,True
brightness,31,0.3238,0.435,0.11120000000000002,False
brightness,47,0.3347,0.4434,0.10870000000000002,False
brightness,61,0.3349,0.4383,0.10340000000000005,False
contrast,31,0.3238,0.8153,0.49150000000000005,True
contrast,47,0.3347,0.8301,0.49539999999999995,True
contrast,61,0.3349,0.8285,0.49360000000000004,True
elastic_transform,31,0.3238,0.4464,0.12260000000000004,False
elastic_transform,47,0.3347,0.456,0.12130000000000002,False
elastic_transform,61,0.3349,0.4573,0.12240000000000001,False
pixelate,31,0.3238,0.5691,0.24530000000000007,True
pixelate,47,0.3347,0.4706,0.13590000000000002,False
pixelate,61,0.3349,0.5574,0.22250000000000003,True
jpeg_compression,31,0.3238,0.3921,0.06830000000000003,False
jpeg_compression,47,0.3347,0.3791,0.044399999999999995,False
jpeg_compression,61,0.3349,0.4039,0.069,False
