seed,arm,clean_error,endpoint_error_mean,risk_area_mean,crossing_fraction,max_accounting_error
71,baseline,0.36025,0.5875333333333331,0.5057516666666667,0.7333333333333333,8.326672684688674e-17
71,random,0.3695,0.5586749999999999,0.48552333333333336,0.6666666666666666,9.71445146547012e-17
71,hazard,0.3695,0.5384416666666667,0.4697949999999999,0.6,5.551115123125783e-17
71,coverage,0.3645,0.5515749999999999,0.478785,0.6,8.326672684688674e-17
83,baseline,0.347,0.6130833333333334,0.5209266666666666,0.8,7.632783294297951e-17
83,random,0.358375,0.5627833333333334,0.4829183333333333,0.8,9.71445146547012e-17
83,hazard,0.359,0.5435583333333334,0.46717833333333336,0.6666666666666666,7.632783294297951e-17
83,coverage,0.353875,0.5539666666666665,0.47362666666666664,0.7333333333333333,9.71445146547012e-17
97,baseline,0.362375,0.6064416666666667,0.5172566666666666,0.8,9.020562075079397e-17
97,random,0.3665,0.5662416666666665,0.48999000000000015,0.7333333333333333,9.71445146547012e-17
97,hazard,0.36675,0.5431666666666667,0.4721883333333333,0.6,9.71445146547012e-17
97,coverage,0.36175,0.559275,0.482115,0.6666666666666666,8.326672684688674e-17
