baseline_risk,eligible,endpoint_risk,event,false_alarm,family,flow_residual,forward,hybrid25_alarm,max_closure_error,recovery,risk,schedule_id,seed,timely
0.2,True,0.22,,False,2,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0408340855860843e-17,0.0,0.0,0.0,0.0]","[0,0,0,0,0,0,0,1,0,0,0,0]",,1.0408340855860843e-17,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.22]",211,113,False
0.2,True,0.3,,False,6,"[0.0,-1.734723475976807e-17,6.938893903907228e-18,0.0,-1.0408340855860843e-17,1.0408340855860843e-17,0.0,6.938893903907228e-18,0.0,1.734723475976807e-17,-3.8163916471489756e-17,0.0]","[2,0,2,0,1,0,0,2,0,1,1,0]",,3.8163916471489756e-17,"[2,1,0,0,0,1,0,0,0,0,0,0]","[0.2,0.2,0.18,0.22,0.22,0.24,0.22,0.22,0.26,0.26,0.28,0.3,0.3]",211,113,False
0.3,True,0.3,,False,11,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0]",,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3]",211,113,False
0.3,True,0.26,,False,12,"[3.8163916471489756e-17,0.0,-3.8163916471489756e-17,0.0,0.0,3.8163916471489756e-17,0.0,-1.734723475976807e-17,1.734723475976807e-17,0.0,0.0,-1.734723475976807e-17]","[0,0,1,0,0,0,0,0,1,0,0,0]",,3.8163916471489756e-17,"[1,0,0,0,0,1,0,1,0,0,0,1]","[0.3,0.28,0.28,0.3,0.3,0.3,0.28,0.28,0.26,0.28,0.28,0.28,0.26]",211,113,False
0.3,True,0.56,7,False,13,"[3.469446951953614e-17,-2.0816681711721685e-17,-1.734723475976807e-17,1.734723475976807e-17,1.734723475976807e-17,-2.0816681711721685e-17,0.0,1.734723475976807e-17,0.0,-1.734723475976807e-17,3.469446951953614e-17,1.734723475976807e-17]","[2,2,0,2,1,2,3,2,0,0,2,2]",4,3.469446951953614e-17,"[0,0,1,1,0,0,0,1,0,1,0,1]","[0.3,0.34,0.38,0.36,0.38,0.4,0.44,0.5,0.52,0.52,0.5,0.54,0.56]",211,113,True
0.3,True,0.84,2,False,14,"[0.0,-2.7755575615628914e-17,8.326672684688674e-17,-5.551115123125783e-17,1.734723475976807e-17,-2.7755575615628914e-17,0.0,0.0,1.734723475976807e-17,4.163336342344337e-17,0.0,-7.632783294297951e-17]","[6,8,5,3,1,5,0,0,1,0,0,3]",1,8.326672684688674e-17,"[0,0,0,0,0,0,0,0,0,4,0,1]","[0.3,0.42,0.58,0.68,0.74,0.76,0.86,0.86,0.86,0.88,0.8,0.8,0.84]",211,113,True
0.3,True,0.32,,False,15,"[3.8163916471489756e-17,-3.8163916471489756e-17,2.0816681711721685e-17,0.0,-2.0816681711721685e-17,1.734723475976807e-17,0.0,-2.0816681711721685e-17,0.0,0.0,3.8163916471489756e-17,-1.734723475976807e-17]","[0,2,0,0,3,1,0,2,1,0,0,0]",,3.8163916471489756e-17,"[1,1,2,0,1,0,0,0,1,0,1,1]","[0.3,0.28,0.3,0.26,0.26,0.3,0.32,0.32,0.36,0.36,0.36,0.34,0.32]",211,113,False
0.3,True,0.88,6,False,16,"[3.469446951953614e-17,-3.8163916471489756e-17,0.0,0.0,2.7755575615628914e-17,-2.0816681711721685e-17,3.469446951953614e-17,-7.632783294297951e-17,8.326672684688674e-17,-4.163336342344337e-17,-4.163336342344337e-17,3.469446951953614e-17]","[2,1,0,0,5,2,2,2,5,4,4,2]",1,8.326672684688674e-17,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.3,0.34,0.36,0.36,0.36,0.46,0.5,0.54,0.58,0.68,0.76,0.84,0.88]",211,113,True
0.3,True,0.54,3,False,17,"[0.0,1.3877787807814457e-17,1.3877787807814457e-17,0.0,-1.734723475976807e-17,0.0,0.0,-4.163336342344337e-17,9.367506770274758e-17,0.0,0.0,-1.734723475976807e-17]","[3,4,4,2,2,0,1,4,0,0,0,0]",1,9.367506770274758e-17,"[0,0,0,2,3,0,1,0,1,0,0,1]","[0.3,0.36,0.44,0.52,0.52,0.5,0.5,0.5,0.58,0.56,0.56,0.56,0.54]",211,113,True
0.3,True,0.9,3,False,18,"[0.0,2.7755575615628914e-17,-5.551115123125783e-17,3.469446951953614e-17,3.469446951953614e-17,-5.551115123125783e-17,1.734723475976807e-17,3.469446951953614e-17,-7.632783294297951e-17,-2.7755575615628914e-17,3.469446951953614e-17,3.469446951953614e-17]","[4,5,7,2,3,0,3,2,4,5,2,2]",1,7.632783294297951e-17,"[1,0,0,0,1,3,2,0,2,0,0,0]","[0.3,0.36,0.46,0.6,0.64,0.68,0.62,0.64,0.68,0.72,0.82,0.86,0.9]",211,113,True
0.2,True,0.22,,False,2,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0408340855860843e-17,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,1,0,0,0]",,1.0408340855860843e-17,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22]",223,113,False
0.2,True,0.3,,False,6,"[-1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,-1.0408340855860843e-17,1.734723475976807e-17,0.0,1.734723475976807e-17,0.0,-3.8163916471489756e-17]","[2,1,1,0,1,0,1,1,0,1,0,1]",,3.8163916471489756e-17,"[1,1,1,0,1,0,0,0,0,0,0,0]","[0.2,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.28,0.28,0.3]",223,113,False
0.3,True,0.3,,False,11,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0]",,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3]",223,113,False
0.3,True,0.26,,False,12,"[0.0,3.8163916471489756e-17,-3.8163916471489756e-17,0.0,0.0,3.8163916471489756e-17,0.0,0.0,0.0,0.0,-1.734723475976807e-17,0.0]","[0,0,1,0,0,0,0,0,1,0,0,0]",,3.8163916471489756e-17,"[0,1,0,0,0,1,0,0,1,0,1,0]","[0.3,0.3,0.28,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.26,0.26]",223,113,False
0.3,True,0.56,9,False,13,"[0.0,1.734723475976807e-17,-2.0816681711721685e-17,3.469446951953614e-17,-2.0816681711721685e-17,0.0,1.734723475976807e-17,-3.8163916471489756e-17,3.469446951953614e-17,1.734723475976807e-17,1.734723475976807e-17,0.0]","[0,2,2,2,2,1,2,1,2,1,2,1]",4,3.8163916471489756e-17,"[0,1,0,0,0,1,1,0,0,0,1,1]","[0.3,0.3,0.32,0.36,0.4,0.44,0.44,0.46,0.48,0.52,0.54,0.56,0.56]",223,113,True
0.3,True,0.84,2,False,14,"[0.0,5.551115123125783e-17,0.0,-2.7755575615628914e-17,1.734723475976807e-17,-5.551115123125783e-17,0.0,0.0,1.734723475976807e-17,-3.469446951953614e-17,0.0,0.0]","[6,7,6,5,1,3,0,0,1,1,1,1]",1,5.551115123125783e-17,"[0,0,0,0,0,0,0,0,0,3,1,1]","[0.3,0.42,0.56,0.68,0.78,0.8,0.86,0.86,0.86,0.88,0.84,0.84,0.84]",223,113,True
0.3,True,0.32,,False,15,"[2.0816681711721685e-17,0.0,0.0,1.734723475976807e-17,-3.8163916471489756e-17,1.734723475976807e-17,0.0,1.734723475976807e-17,-3.8163916471489756e-17,0.0,3.8163916471489756e-17,-1.734723475976807e-17]","[0,0,2,1,1,2,0,1,2,0,0,0]",,3.8163916471489756e-17,"[2,0,2,0,0,1,0,0,1,0,1,1]","[0.3,0.26,0.26,0.26,0.28,0.3,0.32,0.32,0.34,0.36,0.36,0.34,0.32]",223,113,False
0.3,True,0.88,6,False,16,"[0.0,1.734723475976807e-17,-2.0816681711721685e-17,3.469446951953614e-17,0.0,-2.0816681711721685e-17,3.469446951953614e-17,-5.551115123125783e-17,6.938893903907228e-17,-4.163336342344337e-17,3.469446951953614e-17,-4.163336342344337e-17]","[0,1,2,2,3,2,2,3,4,4,2,4]",1,6.938893903907228e-17,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.3,0.3,0.32,0.36,0.4,0.46,0.5,0.54,0.6,0.68,0.76,0.8,0.88]",223,113,True
0.3,True,0.54,6,False,17,"[0.0,3.469446951953614e-17,0.0,0.0,-3.469446951953614e-17,1.734723475976807e-17,1.734723475976807e-17,3.469446951953614e-17,0.0,0.0,0.0,-1.734723475976807e-17]","[6,2,3,2,1,1,2,3,0,0,0,0]",1,3.469446951953614e-17,"[0,0,0,2,3,0,1,1,0,0,0,1]","[0.3,0.42,0.46,0.52,0.52,0.48,0.5,0.52,0.56,0.56,0.56,0.56,0.54]",223,113,True
0.3,True,0.9,2,False,18,"[0.0,1.3877787807814457e-17,-4.163336342344337e-17,0.0,5.551115123125783e-17,-3.469446951953614e-17,-2.7755575615628914e-17,0.0,0.0,1.734723475976807e-17,5.551115123125783e-17,-2.7755575615628914e-17]","[7,5,4,2,3,0,5,0,4,1,3,5]",1,5.551115123125783e-17,"[0,1,0,2,0,2,0,0,4,0,0,0]","[0.3,0.44,0.52,0.6,0.6,0.66,0.62,0.72,0.72,0.72,0.74,0.8,0.9]",223,113,True
0.2,True,0.22,,False,2,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0408340855860843e-17,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,1,0,0,0]",,1.0408340855860843e-17,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22]",227,113,False
0.2,True,0.3,,False,6,"[-2.0816681711721685e-17,1.0408340855860843e-17,0.0,0.0,-1.0408340855860843e-17,1.0408340855860843e-17,-1.0408340855860843e-17,1.734723475976807e-17,0.0,0.0,1.734723475976807e-17,-3.8163916471489756e-17]","[2,0,2,0,1,0,1,1,0,0,1,1]",,3.8163916471489756e-17,"[0,1,2,0,0,1,0,0,0,0,0,0]","[0.2,0.24,0.22,0.22,0.22,0.24,0.22,0.24,0.26,0.26,0.26,0.28,0.3]",227,113,False
0.3,True,0.3,,False,11,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0]",,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3]",227,113,False
0.3,True,0.26,,False,12,"[0.0,3.8163916471489756e-17,-3.8163916471489756e-17,0.0,0.0,3.8163916471489756e-17,0.0,0.0,0.0,0.0,0.0,-1.734723475976807e-17]","[0,0,1,0,0,0,0,0,1,0,0,0]",,3.8163916471489756e-17,"[0,1,0,0,0,1,0,0,1,0,0,1]","[0.3,0.3,0.28,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.26]",227,113,False
0.3,True,0.56,8,False,13,"[3.469446951953614e-17,-3.8163916471489756e-17,0.0,0.0,1.734723475976807e-17,0.0,1.734723475976807e-17,-2.0816681711721685e-17,1.734723475976807e-17,1.734723475976807e-17,1.734723475976807e-17,0.0]","[2,2,0,1,1,3,2,2,1,2,1,1]",6,3.8163916471489756e-17,"[0,1,0,1,0,0,1,0,0,1,0,1]","[0.3,0.34,0.36,0.36,0.36,0.38,0.44,0.46,0.5,0.52,0.54,0.56,0.56]",227,113,True
0.3,True,0.84,2,False,14,"[0.0,-5.551115123125783e-17,8.326672684688674e-17,-5.551115123125783e-17,3.469446951953614e-17,-4.163336342344337e-17,0.0,0.0,1.734723475976807e-17,3.469446951953614e-17,-1.734723475976807e-17,-5.551115123125783e-17]","[7,7,5,3,2,4,0,0,1,3,0,0]",1,8.326672684688674e-17,"[0,0,0,0,0,0,0,0,0,1,1,3]","[0.3,0.44,0.58,0.68,0.74,0.78,0.86,0.86,0.86,0.88,0.92,0.9,0.84]",227,113,True
0.3,True,0.32,,False,15,"[3.8163916471489756e-17,0.0,-1.734723475976807e-17,-2.0816681711721685e-17,0.0,1.734723475976807e-17,1.734723475976807e-17,-1.734723475976807e-17,-2.0816681711721685e-17,0.0,0.0,2.0816681711721685e-17]","[1,0,1,2,0,2,1,0,2,0,0,0]",,3.8163916471489756e-17,"[2,0,2,0,0,1,0,1,0,0,0,2]","[0.3,0.28,0.28,0.26,0.3,0.3,0.32,0.34,0.32,0.36,0.36,0.36,0.32]",227,113,False
0.3,True,0.88,6,False,16,"[0.0,0.0,0.0,3.469446951953614e-17,-3.8163916471489756e-17,1.3877787807814457e-17,5.551115123125783e-17,-9.367506770274758e-17,8.326672684688674e-17,-9.367506770274758e-17,0.0,5.551115123125783e-17]","[0,3,0,2,1,4,3,1,5,1,6,3]",1,9.367506770274758e-17,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.3,0.3,0.36,0.36,0.4,0.42,0.5,0.56,0.58,0.68,0.7,0.82,0.88]",227,113,True
0.3,True,0.54,3,False,17,"[3.469446951953614e-17,-2.0816681711721685e-17,0.0,0.0,3.469446951953614e-17,-5.551115123125783e-17,1.734723475976807e-17,0.0,3.469446951953614e-17,0.0,0.0,-1.734723475976807e-17]","[2,2,7,1,3,0,1,1,3,0,0,0]",1,5.551115123125783e-17,"[0,0,0,1,1,3,0,1,1,0,0,1]","[0.3,0.34,0.38,0.52,0.52,0.56,0.5,0.52,0.52,0.56,0.56,0.56,0.54]",227,113,True
