boundary,cliffs,controls,timely_count,false_count,timely,false,timely_exact,false_exact
0.35,84,66,33,0,0.393,0.0,0.39285714285714285,0.0
0.375,78,72,42,0,0.538,0.0,0.5384615384615384,0.0
0.4,78,72,52,0,0.667,0.0,0.6666666666666666,0.0
0.425,72,78,61,3,0.847,0.038,0.8472222222222222,0.038461538461538464
0.45,72,78,68,3,0.944,0.038,0.9444444444444444,0.038461538461538464
0.475,72,78,70,3,0.972,0.038,0.9722222222222222,0.038461538461538464
0.5,72,78,71,3,0.986,0.038,0.9861111111111112,0.038461538461538464
0.525,69,81,68,6,0.986,0.074,0.9855072463768116,0.07407407407407407
0.55,60,90,59,15,0.983,0.167,0.9833333333333333,0.16666666666666666
0.575,51,99,51,24,1.0,0.242,1.0,0.24242424242424243
0.6,51,99,51,24,1.0,0.242,1.0,0.24242424242424243
0.625,45,105,45,30,1.0,0.286,1.0,0.2857142857142857
0.65,45,105,45,30,1.0,0.286,1.0,0.2857142857142857
0.675,45,105,45,30,1.0,0.286,1.0,0.2857142857142857
0.7,45,105,45,30,1.0,0.286,1.0,0.2857142857142857
