replicate_seed,regime_baseline,path,panel_size_baseline,anchor_time_baseline,anchor_risk_baseline,end_risk_baseline,end_risk_increase_baseline,relative_boundary_baseline,relative_cliff_crossed_baseline,relative_cliff_time_baseline,at_risk_count_baseline,incident_crossing_count_baseline,incident_crossing_fraction_all_baseline,incident_crossing_fraction_at_risk_baseline,forward_crossing_peak_fraction_baseline,confirmed_first_crossing_peak_fraction_baseline,maximum_flux_accounting_error_baseline,velocity_shuffle_median_baseline,velocity_shuffle_q95_baseline,above_velocity_shuffle_q95_baseline,random_boundary_median_baseline,random_boundary_q95_baseline,above_random_boundary_q95_baseline,incident_persistence_baseline,first_crossing_entropy_baseline,three_window_incident_share_baseline,distinct_first_crossing_windows_baseline,regime_aware,panel_size_aware,anchor_time_aware,anchor_risk_aware,end_risk_aware,end_risk_increase_aware,relative_boundary_aware,relative_cliff_crossed_aware,relative_cliff_time_aware,at_risk_count_aware,incident_crossing_count_aware,incident_crossing_fraction_all_aware,incident_crossing_fraction_at_risk_aware,forward_crossing_peak_fraction_aware,confirmed_first_crossing_peak_fraction_aware,maximum_flux_accounting_error_aware,velocity_shuffle_median_aware,velocity_shuffle_q95_aware,above_velocity_shuffle_q95_aware,random_boundary_median_aware,random_boundary_q95_aware,above_random_boundary_q95_aware,incident_persistence_aware,first_crossing_entropy_aware,three_window_incident_share_aware,distinct_first_crossing_windows_aware,end_risk_reduction,incident_crossing_reduction
20261131,baseline,noise,512,6,0.154296875,0.197265625,0.04296875,0.194296875,True,17.0,433,27,0.052734375,0.06235565819861432,0.017578125,0.01171875,0.0,0.015625,0.01953125,False,0.0078125,0.013671875,True,0.9259259259259259,0.8424972660916022,0.48148148148148145,11,cliff_aware,512,6,0.0,0.0,0.0,0.04,False,,512,0,0.0,0.0,0.0,0.0,0.0,0.001953125,0.00390625,False,0.0,0.00390625,False,0.0,0.0,0.0,0,0.197265625,0.052734375
20261131,baseline,mixed_gradient,512,6,0.16015625,0.2109375,0.05078125,0.20015625,True,15.0,430,29,0.056640625,0.06744186046511629,0.013671875,0.01171875,0.0,0.013671875,0.01806640625,False,0.0078125,0.013671875,False,0.896551724137931,0.8613728382516678,0.4482758620689655,11,cliff_aware,512,6,0.0,0.0,0.0,0.04,False,,512,0,0.0,0.0,0.0,0.0,0.0,0.001953125,0.00390625,False,0.0,0.001953125,False,0.0,0.0,0.0,0,0.2109375,0.056640625
20261132,baseline,noise,512,6,0.25390625,0.419921875,0.166015625,0.29390625,True,9.0,382,89,0.173828125,0.23298429319371727,0.029296875,0.025390625,0.0,0.03515625,0.041015625,False,0.005859375,0.01953125,True,0.9550561797752809,0.8681439495215241,0.3707865168539326,11,cliff_aware,512,6,0.015625,0.0390625,0.0234375,0.055625,False,,504,19,0.037109375,0.037698412698412696,0.009765625,0.0078125,0.0,0.013671875,0.017578125,False,0.00390625,0.01171875,False,0.7894736842105263,0.7145598011849477,0.3684210526315789,7,0.380859375,0.13671875
20261132,baseline,mixed_gradient,512,6,0.24609375,0.43359375,0.1875,0.28609375,True,10.0,386,99,0.193359375,0.25647668393782386,0.033203125,0.02734375,0.0,0.03125,0.037109375,False,0.0029296875,0.01171875,True,0.98989898989899,0.8949440368237013,0.3434343434343434,11,cliff_aware,512,6,0.013671875,0.052734375,0.0390625,0.053671875,False,,505,21,0.041015625,0.041584158415841586,0.01171875,0.009765625,0.0,0.01171875,0.01611328125,False,0.00390625,0.0078125,True,0.9523809523809523,0.6786926199196077,0.6666666666666666,7,0.380859375,0.15234375
20261133,baseline,noise,512,6,0.1171875,0.220703125,0.103515625,0.1571875,True,11.0,452,60,0.1171875,0.13274336283185842,0.021484375,0.017578125,0.0,0.0234375,0.029296875,False,0.0078125,0.01171875,True,0.95,0.8927980864530296,0.38333333333333336,11,cliff_aware,512,6,0.0078125,0.017578125,0.009765625,0.0478125,False,,508,7,0.013671875,0.013779527559055118,0.0078125,0.005859375,0.0,0.005859375,0.0078125,False,0.00390625,0.0078125,False,0.8571428571428571,0.4838978847239801,0.5714285714285714,4,0.203125,0.103515625
20261133,baseline,mixed_gradient,512,6,0.125,0.232421875,0.107421875,0.165,True,11.0,448,61,0.119140625,0.13616071428571427,0.0234375,0.021484375,0.0,0.021484375,0.02783203125,False,0.005859375,0.009765625,True,0.9344262295081968,0.8891839316917649,0.39344262295081966,11,cliff_aware,512,6,0.01171875,0.013671875,0.001953125,0.05171875,False,,506,5,0.009765625,0.009881422924901186,0.00390625,0.001953125,0.0,0.00390625,0.005859375,False,0.00390625,0.0078125,False,0.4,0.6098533345119624,0.4,5,0.21875,0.109375
20261134,baseline,noise,512,6,0.15625,0.322265625,0.166015625,0.19625,True,10.0,432,88,0.171875,0.2037037037037037,0.029296875,0.0234375,0.0,0.02734375,0.03515625,False,0.005859375,0.01220703125,True,0.9659090909090909,0.8867296341946729,0.3522727272727273,11,cliff_aware,512,6,0.0,0.00390625,0.00390625,0.04,False,,512,2,0.00390625,0.00390625,0.00390625,0.001953125,0.0,0.005859375,0.009765625,False,0.001953125,0.00390625,False,1.0,0.26264953503719357,0.5,2,0.318359375,0.16796875
20261134,baseline,mixed_gradient,512,6,0.16796875,0.3359375,0.16796875,0.20796875,True,10.0,426,89,0.173828125,0.20892018779342722,0.02734375,0.025390625,0.0,0.02734375,0.033203125,False,0.005859375,0.01171875,True,0.9887640449438202,0.8779286465972969,0.38202247191011235,11,cliff_aware,512,6,0.005859375,0.01171875,0.005859375,0.045859375,False,,509,3,0.005859375,0.005893909626719057,0.001953125,0.001953125,0.0,0.00390625,0.0078125,False,0.001953125,0.005859375,False,1.0,0.4162896638657992,0.6666666666666666,3,0.32421875,0.16796875
20261135,baseline,noise,512,6,0.13671875,0.3125,0.17578125,0.17671875,True,9.0,442,93,0.181640625,0.21040723981900453,0.033203125,0.025390625,0.0,0.03125,0.037109375,False,0.0078125,0.013671875,True,0.967741935483871,0.8798133542192497,0.34408602150537637,11,cliff_aware,512,6,0.017578125,0.046875,0.029296875,0.057578125,False,,503,17,0.033203125,0.033797216699801194,0.013671875,0.013671875,0.0,0.009765625,0.013671875,False,0.00390625,0.0078125,True,1.0,0.6655924902414179,0.5882352941176471,8,0.265625,0.1484375
20261135,baseline,mixed_gradient,512,6,0.142578125,0.294921875,0.15234375,0.182578125,True,11.0,439,83,0.162109375,0.18906605922551253,0.03125,0.029296875,0.0,0.03125,0.0390625,False,0.005859375,0.01171875,True,0.9397590361445783,0.8700095289162765,0.39759036144578314,11,cliff_aware,512,6,0.025390625,0.06640625,0.041015625,0.06539062500000001,True,17.0,499,22,0.04296875,0.04408817635270541,0.01171875,0.0078125,0.0,0.01171875,0.015625,False,0.005859375,0.01171875,False,0.9545454545454546,0.8009371690363406,0.4090909090909091,9,0.228515625,0.119140625
