replicate_seed,arm,mean_end_risk_reduction,mean_incident_crossing_reduction,mean_risk_area_reduction,mean_anchor_risk_change
20261261,coverage_hazard,0.322265625,0.14453125,0.2688802083333333,-0.169921875
20261261,coverage_random,0.326171875,0.138671875,0.27825520833333334,-0.189453125
20261261,hazard_concentrated,0.1875,0.119140625,0.142578125,-0.07421875
20261261,random_unstratified,0.38671875,0.177734375,0.318359375,-0.208984375
20261262,coverage_hazard,0.255859375,0.169921875,0.19661458333333334,-0.09765625
20261262,coverage_random,0.291015625,0.1953125,0.21770833333333334,-0.109375
20261262,hazard_concentrated,0.2109375,0.142578125,0.14973958333333331,-0.076171875
20261262,random_unstratified,0.11328125,0.13671875,0.056901041666666666,0.02734375
20261263,coverage_hazard,0.259765625,0.142578125,0.20091145833333335,-0.12890625
20261263,coverage_random,0.228515625,0.123046875,0.173828125,-0.109375
20261263,hazard_concentrated,0.05078125,0.087890625,0.012109375000000006,0.017578125
20261263,random_unstratified,0.234375,0.12890625,0.1796875,-0.119140625
20261264,coverage_hazard,0.201171875,0.15625,0.13854166666666667,-0.064453125
20261264,coverage_random,0.203125,0.15625,0.13932291666666669,-0.0625
20261264,hazard_concentrated,0.11328125,0.09765625,0.06953125000000002,-0.01953125
20261264,random_unstratified,0.1953125,0.15234375,0.131640625,-0.05859375
20261265,coverage_hazard,0.193359375,0.0546875,0.17578125,-0.140625
20261265,coverage_random,0.181640625,0.06640625,0.16067708333333333,-0.119140625
20261265,hazard_concentrated,0.197265625,0.048828125,0.17252604166666669,-0.13671875
20261265,random_unstratified,0.1640625,0.060546875,0.133203125,-0.0859375
