role,id,seed,schedule_id,family,event,alarm,timely,lead,baseline_risk,initial_headroom,endpoint_risk,endpoint_overshoot,endpoint_delta,last_pre_event_headroom,pre_event_slope,endpoint_overshoot_bin,endpoint_delta_bin,initial_headroom_bin,event_bin,last_pre_event_headroom_bin,pre_event_slope_bin
calibration,calibration|113|211|13,113,211,13,6,1.0,True,5.0,0.34,0.15999999999999998,0.58,0.07999999999999996,0.23999999999999994,0.06,0.01999999999999999,low,low,high,mid,mid,low
calibration,calibration|113|211|14,113,211,14,2,1.0,True,1.0,0.34,0.15999999999999998,0.86,0.36,0.52,0.09999999999999998,0.06,mid,mid,high,low,high,high
calibration,calibration|113|211|16,113,211,16,7,1.0,True,6.0,0.34,0.15999999999999998,0.8,0.30000000000000004,0.46,0.03999999999999998,0.020000000000000018,mid,mid,high,mid,mid,mid
calibration,calibration|113|211|17,113,211,17,7,1.0,True,6.0,0.34,0.15999999999999998,0.52,0.020000000000000018,0.18,0.020000000000000018,-0.020000000000000018,low,low,high,mid,low,low
calibration,calibration|113|211|18,113,211,18,3,1.0,True,2.0,0.34,0.15999999999999998,0.88,0.38,0.54,0.020000000000000018,0.06999999999999998,mid,high,high,low,low,high
calibration,calibration|113|223|13,113,223,13,6,5.0,True,1.0,0.34,0.15999999999999998,0.58,0.07999999999999996,0.23999999999999994,0.020000000000000018,0.03999999999999998,low,low,high,mid,low,mid
calibration,calibration|113|223|14,113,223,14,2,1.0,True,1.0,0.34,0.15999999999999998,0.86,0.36,0.52,0.03999999999999998,0.12,mid,mid,high,low,mid,high
calibration,calibration|113|223|16,113,223,16,7,1.0,True,6.0,0.34,0.15999999999999998,0.8,0.30000000000000004,0.46,0.03999999999999998,0.010000000000000009,mid,mid,high,mid,mid,low
calibration,calibration|113|223|17,113,223,17,7,1.0,True,6.0,0.34,0.15999999999999998,0.52,0.020000000000000018,0.18,0.020000000000000018,-0.030000000000000027,low,low,high,mid,low,low
calibration,calibration|113|223|18,113,223,18,3,1.0,True,2.0,0.34,0.15999999999999998,0.88,0.38,0.54,0.020000000000000018,0.06999999999999998,mid,high,high,low,low,high
calibration,calibration|113|227|13,113,227,13,6,,False,,0.34,0.15999999999999998,0.58,0.07999999999999996,0.23999999999999994,0.08000000000000002,0.009999999999999981,low,low,high,mid,high,low
calibration,calibration|113|227|14,113,227,14,1,1.0,False,,0.34,0.15999999999999998,0.86,0.36,0.52,0.15999999999999998,0.0,mid,mid,high,low,high,low
calibration,calibration|113|227|16,113,227,16,8,1.0,True,7.0,0.34,0.15999999999999998,0.8,0.30000000000000004,0.46,0.020000000000000018,0.01999999999999999,mid,mid,high,high,low,low
calibration,calibration|113|227|17,113,227,17,8,1.0,True,7.0,0.34,0.15999999999999998,0.52,0.020000000000000018,0.18,0.020000000000000018,-0.020000000000000018,low,low,high,high,low,low
calibration,calibration|113|227|18,113,227,18,3,1.0,True,2.0,0.34,0.15999999999999998,0.88,0.38,0.54,0.03999999999999998,0.06,mid,high,high,low,mid,high
calibration,calibration|127|211|13,127,211,13,6,1.0,True,5.0,0.36,0.14,0.54,0.040000000000000036,0.18000000000000005,0.03999999999999998,0.020000000000000018,low,low,low,mid,mid,mid
calibration,calibration|127|211|14,127,211,14,2,1.0,True,1.0,0.36,0.14,0.9,0.4,0.54,0.06,0.08000000000000002,high,high,low,low,mid,high
calibration,calibration|127|211|16,127,211,16,7,1.0,True,6.0,0.36,0.14,0.8,0.30000000000000004,0.44000000000000006,0.03999999999999998,0.020000000000000018,mid,mid,low,mid,mid,mid
calibration,calibration|127|211|18,127,211,18,3,1.0,True,2.0,0.36,0.14,0.88,0.38,0.52,0.03999999999999998,0.05000000000000002,mid,mid,low,low,mid,mid
calibration,calibration|127|223|13,127,223,13,6,5.0,True,1.0,0.36,0.14,0.54,0.040000000000000036,0.18000000000000005,0.020000000000000018,0.03,low,low,low,mid,low,mid
calibration,calibration|127|223|14,127,223,14,1,1.0,False,,0.36,0.14,0.9,0.4,0.54,0.14,0.0,high,high,low,low,high,low
calibration,calibration|127|223|16,127,223,16,7,1.0,True,6.0,0.36,0.14,0.8,0.30000000000000004,0.44000000000000006,0.03999999999999998,0.03,mid,mid,low,mid,mid,mid
calibration,calibration|127|223|18,127,223,18,2,1.0,True,1.0,0.36,0.14,0.88,0.38,0.52,0.06,0.08000000000000002,mid,mid,low,low,mid,high
calibration,calibration|127|227|13,127,227,13,6,6.0,False,,0.36,0.14,0.54,0.040000000000000036,0.18000000000000005,0.03999999999999998,0.020000000000000018,low,low,low,mid,mid,mid
calibration,calibration|127|227|14,127,227,14,1,1.0,False,,0.36,0.14,0.9,0.4,0.54,0.14,0.0,high,high,low,low,high,low
calibration,calibration|127|227|16,127,227,16,8,1.0,True,7.0,0.36,0.14,0.8,0.30000000000000004,0.44000000000000006,0.020000000000000018,0.009999999999999981,mid,mid,low,high,low,low
calibration,calibration|127|227|18,127,227,18,3,2.0,True,1.0,0.36,0.14,0.88,0.38,0.52,0.03999999999999998,0.05000000000000002,mid,mid,low,low,mid,mid
calibration,calibration|139|211|13,139,211,13,8,5.0,True,3.0,0.36,0.14,0.56,0.06000000000000005,0.20000000000000007,0.020000000000000018,0.03,low,low,low,high,low,mid
calibration,calibration|139|211|14,139,211,14,2,1.0,True,1.0,0.36,0.14,0.84,0.33999999999999997,0.48,0.06,0.08000000000000002,mid,mid,low,low,mid,high
calibration,calibration|139|211|16,139,211,16,9,1.0,True,8.0,0.36,0.14,0.76,0.26,0.4,0.03999999999999998,0.03,mid,mid,low,high,mid,mid
calibration,calibration|139|211|17,139,211,17,11,1.0,True,10.0,0.36,0.14,0.56,0.06000000000000005,0.20000000000000007,0.03999999999999998,0.010000000000000009,low,low,low,high,mid,low
calibration,calibration|139|211|18,139,211,18,2,1.0,True,1.0,0.36,0.14,0.9,0.4,0.54,0.09999999999999998,0.040000000000000036,high,high,low,low,high,mid
calibration,calibration|139|223|13,139,223,13,7,4.0,True,3.0,0.36,0.14,0.56,0.06000000000000005,0.20000000000000007,0.03999999999999998,0.06,low,low,low,mid,mid,high
calibration,calibration|139|223|14,139,223,14,2,1.0,True,1.0,0.36,0.14,0.84,0.33999999999999997,0.48,0.020000000000000018,0.12,mid,mid,low,low,low,high
calibration,calibration|139|223|16,139,223,16,9,1.0,True,8.0,0.36,0.14,0.76,0.26,0.4,0.03999999999999998,0.03,mid,mid,low,high,mid,mid
calibration,calibration|139|223|17,139,223,17,11,1.0,True,10.0,0.36,0.14,0.56,0.06000000000000005,0.20000000000000007,0.020000000000000018,0.01999999999999999,low,low,low,high,low,low
calibration,calibration|139|223|18,139,223,18,2,3.0,False,,0.36,0.14,0.9,0.4,0.54,0.06,0.08000000000000002,high,high,low,low,mid,high
calibration,calibration|139|227|13,139,227,13,7,4.0,True,3.0,0.36,0.14,0.56,0.06000000000000005,0.20000000000000007,0.03999999999999998,0.05000000000000002,low,low,low,mid,mid,mid
calibration,calibration|139|227|14,139,227,14,2,1.0,True,1.0,0.36,0.14,0.84,0.33999999999999997,0.48,0.06,0.08000000000000002,mid,mid,low,low,mid,high
calibration,calibration|139|227|16,139,227,16,9,1.0,True,8.0,0.36,0.14,0.76,0.26,0.4,0.020000000000000018,0.03999999999999998,mid,mid,low,high,low,mid
calibration,calibration|139|227|17,139,227,17,11,1.0,True,10.0,0.36,0.14,0.56,0.06000000000000005,0.20000000000000007,0.03999999999999998,0.010000000000000009,low,low,low,high,mid,low
calibration,calibration|139|227|18,139,227,18,3,1.0,True,2.0,0.36,0.14,0.9,0.4,0.54,0.06,0.04000000000000001,high,high,low,low,mid,mid
calibration,calibration|151|211|13,151,211,13,9,6.0,True,3.0,0.36,0.14,0.52,0.020000000000000018,0.16000000000000003,0.020000000000000018,0.01999999999999999,low,low,low,high,low,low
calibration,calibration|151|211|14,151,211,14,2,1.0,True,1.0,0.36,0.14,0.88,0.38,0.52,0.06,0.08000000000000002,mid,mid,low,low,mid,high
calibration,calibration|151|211|16,151,211,16,6,1.0,True,5.0,0.36,0.14,0.74,0.24,0.38,0.06,0.03,mid,mid,low,mid,mid,mid
calibration,calibration|151|211|18,151,211,18,3,1.0,True,2.0,0.36,0.14,0.88,0.38,0.52,0.03999999999999998,0.05000000000000002,mid,mid,low,low,mid,mid
calibration,calibration|151|223|13,151,223,13,8,4.0,True,4.0,0.36,0.14,0.52,0.020000000000000018,0.16000000000000003,0.020000000000000018,0.01999999999999999,low,low,low,high,low,low
calibration,calibration|151|223|14,151,223,14,1,1.0,False,,0.36,0.14,0.88,0.38,0.52,0.14,0.0,mid,mid,low,low,high,low
calibration,calibration|151|223|16,151,223,16,6,1.0,True,5.0,0.36,0.14,0.74,0.24,0.38,0.03999999999999998,0.04000000000000001,mid,mid,low,mid,mid,mid
calibration,calibration|151|223|18,151,223,18,3,1.0,True,2.0,0.36,0.14,0.88,0.38,0.52,0.020000000000000018,0.06,mid,mid,low,low,low,high
calibration,calibration|151|227|13,151,227,13,8,5.0,True,3.0,0.36,0.14,0.52,0.020000000000000018,0.16000000000000003,0.03999999999999998,0.03,low,low,low,high,mid,mid
calibration,calibration|151|227|14,151,227,14,1,1.0,False,,0.36,0.14,0.88,0.38,0.52,0.14,0.0,mid,mid,low,low,high,low
calibration,calibration|151|227|16,151,227,16,6,1.0,True,5.0,0.36,0.14,0.74,0.24,0.38,0.06,0.03,mid,mid,low,mid,mid,mid
calibration,calibration|151|227|18,151,227,18,5,1.0,True,4.0,0.36,0.14,0.88,0.38,0.52,0.020000000000000018,0.01999999999999999,mid,mid,low,mid,low,low
calibration,calibration|163|211|13,163,211,13,6,1.0,True,5.0,0.36,0.14,0.62,0.12,0.26,0.03999999999999998,0.06,low,low,low,mid,mid,high
calibration,calibration|163|211|14,163,211,14,2,1.0,True,1.0,0.36,0.14,0.88,0.38,0.52,0.08000000000000002,0.06,mid,mid,low,low,high,high
calibration,calibration|163|211|16,163,211,16,6,1.0,True,5.0,0.36,0.14,0.84,0.33999999999999997,0.48,0.03999999999999998,0.08000000000000002,mid,mid,low,mid,mid,high
calibration,calibration|163|211|17,163,211,17,10,1.0,True,9.0,0.36,0.14,0.52,0.020000000000000018,0.16000000000000003,0.020000000000000018,0.0,low,low,low,high,low,low
calibration,calibration|163|211|18,163,211,18,4,1.0,True,3.0,0.36,0.14,0.88,0.38,0.52,0.020000000000000018,0.06,mid,mid,low,mid,low,high
calibration,calibration|163|223|13,163,223,13,5,1.0,True,4.0,0.36,0.14,0.62,0.12,0.26,0.06,0.06,low,low,low,mid,mid,high
calibration,calibration|163|223|14,163,223,14,1,1.0,False,,0.36,0.14,0.88,0.38,0.52,0.14,0.0,mid,mid,low,low,high,low
calibration,calibration|163|223|16,163,223,16,6,1.0,True,5.0,0.36,0.14,0.84,0.33999999999999997,0.48,0.08000000000000002,0.06,mid,mid,low,mid,high,high
calibration,calibration|163|223|17,163,223,17,11,1.0,True,10.0,0.36,0.14,0.52,0.020000000000000018,0.16000000000000003,0.020000000000000018,0.009999999999999981,low,low,low,high,low,low
calibration,calibration|163|223|18,163,223,18,4,1.0,True,3.0,0.36,0.14,0.88,0.38,0.52,0.020000000000000018,0.03999999999999998,mid,mid,low,mid,low,mid
calibration,calibration|163|227|13,163,227,13,6,4.0,True,2.0,0.36,0.14,0.62,0.12,0.26,0.08000000000000002,0.03999999999999998,low,low,low,mid,high,mid
calibration,calibration|163|227|14,163,227,14,1,1.0,False,,0.36,0.14,0.88,0.38,0.52,0.14,0.0,mid,mid,low,low,high,low
calibration,calibration|163|227|16,163,227,16,6,1.0,True,5.0,0.36,0.14,0.84,0.33999999999999997,0.48,0.06,0.07,mid,mid,low,mid,mid,high
calibration,calibration|163|227|17,163,227,17,12,1.0,True,11.0,0.36,0.14,0.52,0.020000000000000018,0.16000000000000003,0.020000000000000018,0.0,low,low,low,high,low,low
calibration,calibration|163|227|18,163,227,18,6,1.0,True,5.0,0.36,0.14,0.88,0.38,0.52,0.020000000000000018,0.0,mid,mid,low,mid,low,low
confirmation,confirmation|113|211|13,113,211,13,7,4.0,True,3.0,0.3,0.2,0.56,0.06000000000000005,0.26000000000000006,0.06,0.03,low,mid,high,mid,mid,mid
confirmation,confirmation|113|211|14,113,211,14,2,1.0,True,1.0,0.3,0.2,0.84,0.33999999999999997,0.54,0.08000000000000002,0.12,mid,high,high,low,high,high
confirmation,confirmation|113|211|16,113,211,16,6,1.0,True,5.0,0.3,0.2,0.88,0.38,0.5800000000000001,0.03999999999999998,0.05000000000000002,mid,high,high,mid,mid,mid
confirmation,confirmation|113|211|17,113,211,17,3,1.0,True,2.0,0.3,0.2,0.54,0.040000000000000036,0.24000000000000005,0.06,0.07,low,low,high,low,mid,high
confirmation,confirmation|113|211|18,113,211,18,3,1.0,True,2.0,0.3,0.2,0.9,0.4,0.6000000000000001,0.03999999999999998,0.08000000000000002,high,high,high,low,mid,high
confirmation,confirmation|113|223|13,113,223,13,9,4.0,True,5.0,0.3,0.2,0.56,0.06000000000000005,0.26000000000000006,0.020000000000000018,0.01999999999999999,low,mid,high,high,low,low
