role,stratifier,stratum,n,timely,timely_rate,median_lead,median_value
calibration,endpoint_overshoot,low,24,22,0.9166666666666666,5.0,0.050000000000000044
calibration,endpoint_overshoot,mid,39,34,0.8717948717948718,3.5,0.36
calibration,endpoint_overshoot,high,6,3,0.5,1.0,0.4
calibration,endpoint_delta,low,24,22,0.9166666666666666,5.0,0.19000000000000006
calibration,endpoint_delta,mid,36,31,0.8611111111111112,5.0,0.5
calibration,endpoint_delta,high,9,6,0.6666666666666666,2.0,0.54
calibration,initial_headroom,low,54,46,0.8518518518518519,4.0,0.14
calibration,initial_headroom,high,15,13,0.8666666666666667,5.0,0.15999999999999998
calibration,event,low,26,18,0.6923076923076923,1.0,2.0
calibration,event,mid,27,25,0.9259259259259259,5.0,6.0
calibration,event,high,16,16,1.0,8.0,9.0
calibration,last_pre_event_headroom,low,23,23,1.0,4.0,0.020000000000000018
calibration,last_pre_event_headroom,mid,33,31,0.9393939393939394,5.0,0.03999999999999998
calibration,last_pre_event_headroom,high,13,5,0.38461538461538464,1.0,0.14
calibration,pre_event_slope,low,25,17,0.68,7.0,0.0
calibration,pre_event_slope,mid,23,22,0.9565217391304348,3.0,0.03
calibration,pre_event_slope,high,21,20,0.9523809523809523,2.0,0.06999999999999998
confirmation,endpoint_overshoot,low,27,27,1.0,3.0,0.06000000000000005
confirmation,endpoint_overshoot,mid,33,32,0.9696969696969697,2.0,0.36
confirmation,endpoint_overshoot,high,12,12,1.0,2.0,0.4
confirmation,endpoint_delta,low,9,9,1.0,3.0,0.24000000000000005
confirmation,endpoint_delta,mid,24,24,1.0,5.0,0.31
confirmation,endpoint_delta,high,39,38,0.9743589743589743,1.0,0.6
confirmation,initial_headroom,high,72,71,0.9861111111111112,3.0,0.21999999999999997
confirmation,event,low,29,28,0.9655172413793104,1.0,2.0
confirmation,event,mid,25,25,1.0,3.0,6.0
confirmation,event,high,18,18,1.0,7.0,8.5
confirmation,last_pre_event_headroom,low,16,16,1.0,4.5,0.020000000000000018
confirmation,last_pre_event_headroom,mid,39,38,0.9743589743589743,3.0,0.03999999999999998
confirmation,last_pre_event_headroom,high,17,17,1.0,1.0,0.12
confirmation,pre_event_slope,low,10,10,1.0,5.0,0.010000000000000009
confirmation,pre_event_slope,mid,24,24,1.0,5.0,0.04000000000000001
confirmation,pre_event_slope,high,38,37,0.9736842105263158,1.0,0.10499999999999998
