domain,focal_seed,peer_seed,schedule,family,focal_baseline_risk,peer_baseline_risk,active,cliff,self_rmse,peer_rmse,incorrect_rmse,focal_delta_rms,focal_delta_mae,peer_nrmse_rms,peer_rmse_over_mae
CURE-OR,113,127,211,2,0.2,0.22,True,False,0.0,0.0057735026918962,,0.0057735026918962545,0.001666666666666666,0.9999999999999906,3.4641016151377215
CURE-OR,113,127,211,6,0.2,0.22,True,False,0.0,0.0270801280154532,,0.020816659994661327,0.015,1.3008872711759818,1.80534186769688
CURE-OR,113,151,211,11,0.3,0.28,False,False,0.0,0.0,,0.0,0.0,,
CURE-OR,113,151,211,12,0.3,0.28,True,False,0.0,0.0199999999999999,,0.014142135623730944,0.009999999999999995,1.4142135623730887,1.999999999999991
CURE-OR,113,151,211,13,0.3,0.28,True,True,0.0,0.0341565025531986,,0.03214550253664319,0.028333333333333346,1.0625592962581016,1.2055236195246561
CURE-OR,113,151,211,14,0.3,0.28,True,True,0.0,0.0216024689946928,,0.07767453465154028,0.05833333333333333,0.27811520328515316,0.37032803990901947
CURE-OR,113,151,211,15,0.3,0.28,True,False,0.0,0.0276887462097269,,0.023804761428476155,0.018333333333333323,1.1631599960755992,1.5102952478032863
CURE-OR,113,151,211,16,0.3,0.28,True,True,0.0,0.0282842712474619,,0.058594652770823166,0.04833333333333334,0.4827107920254777,0.5851918189130048
CURE-OR,113,151,211,17,0.3,0.28,True,True,0.0,0.0321455025366431,,0.04472135954999579,0.029999999999999995,0.718795288428259,1.0715167512214367
CURE-OR,113,151,211,18,0.3,0.28,True,True,0.0,0.0489897948556635,,0.06879922480183431,0.06000000000000002,0.712068994916311,0.8164965809277248
CURE-OR,113,127,223,2,0.2,0.22,True,False,0.0,0.0057735026918962,,0.0057735026918962545,0.001666666666666666,0.9999999999999906,3.4641016151377215
CURE-OR,113,127,223,6,0.2,0.22,True,False,0.0,0.0244948974278317,,0.012909944487358055,0.008333333333333331,1.8973665961010215,2.9393876913398045
CURE-OR,113,151,223,11,0.3,0.28,False,False,0.0,0.0,,0.0,0.0,,
CURE-OR,113,151,223,12,0.3,0.28,True,False,0.0,0.023094010767585,,0.011547005383792502,0.006666666666666658,1.9999999999999998,3.4641016151377544
CURE-OR,113,151,223,13,0.3,0.28,True,True,0.0,0.033166247903554,,0.026457513110645915,0.02166666666666667,1.253566341056017,1.5307499032409535
CURE-OR,113,151,223,14,0.3,0.28,True,True,0.0,0.023094010767585,,0.0732575365861197,0.05166666666666667,0.31524416249563986,0.44698085356616124
CURE-OR,113,151,223,15,0.3,0.28,True,False,0.0,0.0351188458428424,,0.019148542155126756,0.014999999999999994,1.8340219092574532,2.3412563895228278
CURE-OR,113,151,223,16,0.3,0.28,True,True,0.0,0.032659863237109,,0.053851648071345036,0.04833333333333333,0.606478434863122,0.6757213083539794
CURE-OR,113,151,223,17,0.3,0.28,True,True,0.0,0.0435889894354067,,0.0447213595499958,0.030000000000000013,0.9746794344808954,1.452966314513556
CURE-OR,113,151,223,18,0.3,0.28,True,True,0.0,0.0616441400296897,,0.07164728420068225,0.05666666666666667,0.8603834844182789,1.0878377652298181
CURE-OR,113,127,227,2,0.2,0.22,True,False,0.0,0.0057735026918962,,0.0057735026918962545,0.001666666666666666,0.9999999999999906,3.4641016151377215
CURE-OR,113,127,227,6,0.2,0.22,True,False,0.0,0.0216024689946928,,0.019148542155126756,0.014999999999999994,1.1281521496355293,1.4401645996461871
CURE-OR,113,151,227,11,0.3,0.28,False,False,0.0,0.0,,0.0,0.0,,
