domain,focal_seed,peer_seed,schedule,family,focal_baseline_risk,peer_baseline_risk,active,cliff,self_rmse,peer_rmse
CURE-OR,113,127,211,2,0.2,0.22,True,False,0.0,0.0057735026918962545
CURE-OR,113,127,211,6,0.2,0.22,True,False,0.0,0.027080128015453207
CURE-OR,113,151,211,11,0.3,0.28,False,False,0.0,0.0
CURE-OR,113,151,211,12,0.3,0.28,True,False,0.0,0.019999999999999993
CURE-OR,113,151,211,13,0.3,0.28,True,True,0.0,0.034156502553198666
CURE-OR,113,151,211,14,0.3,0.28,True,True,0.0,0.021602468994692866
CURE-OR,113,151,211,15,0.3,0.28,True,False,0.0,0.02768874620972691
CURE-OR,113,151,211,16,0.3,0.28,True,True,0.0,0.0282842712474619
CURE-OR,113,151,211,17,0.3,0.28,True,True,0.0,0.032145502536643174
CURE-OR,113,151,211,18,0.3,0.28,True,True,0.0,0.04898979485566355
CURE-OR,113,127,223,2,0.2,0.22,True,False,0.0,0.0057735026918962545
CURE-OR,113,127,223,6,0.2,0.22,True,False,0.0,0.024494897427831782
CURE-OR,113,151,223,11,0.3,0.28,False,False,0.0,0.0
CURE-OR,113,151,223,12,0.3,0.28,True,False,0.0,0.023094010767585018
CURE-OR,113,151,223,13,0.3,0.28,True,True,0.0,0.033166247903554005
CURE-OR,113,151,223,14,0.3,0.28,True,True,0.0,0.023094010767585032
CURE-OR,113,151,223,15,0.3,0.28,True,False,0.0,0.035118845842842444
CURE-OR,113,151,223,16,0.3,0.28,True,True,0.0,0.03265986323710905
CURE-OR,113,151,223,17,0.3,0.28,True,True,0.0,0.04358898943540674
CURE-OR,113,151,223,18,0.3,0.28,True,True,0.0,0.06164414002968976
CURE-OR,113,127,227,2,0.2,0.22,True,False,0.0,0.0057735026918962545
CURE-OR,113,127,227,6,0.2,0.22,True,False,0.0,0.021602468994692862
CURE-OR,113,151,227,11,0.3,0.28,False,False,0.0,0.0
CURE-OR,113,151,227,12,0.3,0.28,True,False,0.0,0.019999999999999997
CURE-OR,113,151,227,13,0.3,0.28,True,True,0.0,0.03000000000000001
CURE-OR,113,151,227,14,0.3,0.28,True,True,0.0,0.020000000000000018
CURE-OR,113,151,227,15,0.3,0.28,True,False,0.0,0.033166247903554
CURE-OR,113,151,227,16,0.3,0.28,True,True,0.0,0.028284271247461912
CURE-OR,113,151,227,17,0.3,0.28,True,True,0.0,0.04725815626252608
CURE-OR,113,151,227,18,0.3,0.28,True,True,0.0,0.054772255750516606
CURE-OR,127,113,211,2,0.22,0.2,False,False,0.0,0.005773502691896258
CURE-OR,127,113,211,6,0.22,0.2,True,False,0.0,0.0270801280154532
CURE-OR,127,113,211,11,0.32,0.3,True,False,0.0,0.010000000000000009
CURE-OR,127,113,211,12,0.32,0.3,True,False,0.0,0.016329931618554522
CURE-OR,127,113,211,13,0.32,0.3,True,True,0.0,0.022360679774997887
CURE-OR,127,113,211,14,0.32,0.3,True,True,0.0,0.02768874620972694
CURE-OR,127,113,211,15,0.32,0.3,True,False,0.0,0.024494897427831782
CURE-OR,127,113,211,16,0.32,0.3,True,True,0.0,0.042031734043061646
CURE-OR,127,113,211,17,0.32,0.3,True,False,0.0,0.04203173404306164
CURE-OR,127,113,211,18,0.32,0.3,True,True,0.0,0.0532290647422377
CURE-OR,127,113,223,2,0.22,0.2,False,False,0.0,0.005773502691896258
CURE-OR,127,113,223,6,0.22,0.2,True,False,0.0,0.02449489742783178
CURE-OR,127,113,223,11,0.32,0.3,True,False,0.0,0.012909944487358068
CURE-OR,127,113,223,12,0.32,0.3,True,False,0.0,0.01825741858350554
CURE-OR,127,113,223,13,0.32,0.3,True,True,0.0,0.020816659994661313
CURE-OR,127,113,223,14,0.32,0.3,True,True,0.0,0.02516611478423584
CURE-OR,127,113,223,15,0.32,0.3,True,False,0.0,0.028284271247461905
CURE-OR,127,113,223,16,0.32,0.3,True,True,0.0,0.028867513459481284
CURE-OR,127,113,223,17,0.32,0.3,True,False,0.0,0.02081665999466133
CURE-OR,127,113,223,18,0.32,0.3,True,True,0.0,0.048648398397754755
CURE-OR,127,113,227,2,0.22,0.2,False,False,0.0,0.005773502691896258
CURE-OR,127,113,227,6,0.22,0.2,True,False,0.0,0.021602468994692866
CURE-OR,127,113,227,11,0.32,0.3,True,False,0.0,0.010000000000000009
CURE-OR,127,113,227,12,0.32,0.3,True,False,0.0,0.01825741858350554
CURE-OR,127,113,227,13,0.32,0.3,True,True,0.0,0.020816659994661327
CURE-OR,127,113,227,14,0.32,0.3,True,True,0.0,0.02380476142847618
CURE-OR,127,113,227,15,0.32,0.3,True,False,0.0,0.034641016151377546
CURE-OR,127,113,227,16,0.32,0.3,True,True,0.0,0.026457513110645918
CURE-OR,127,113,227,17,0.32,0.3,True,False,0.0,0.04123105625617661
CURE-OR,127,113,227,18,0.32,0.3,True,True,0.0,0.05196152422706631
CURE-OR,139,163,211,2,0.16,0.18,True,False,0.0,0.008164965809277263
CURE-OR,139,163,211,6,0.16,0.18,True,False,0.0,0.011547005383792521
CURE-OR,139,163,211,11,0.22,0.26,True,False,0.0,0.008164965809277256
CURE-OR,139,163,211,12,0.22,0.26,True,False,0.0,0.014142135623730954
CURE-OR,139,163,211,13,0.22,0.26,True,True,0.0,0.045092497528228956
CURE-OR,139,163,211,14,0.22,0.26,True,True,0.0,0.029439202887759478
CURE-OR,139,163,211,15,0.22,0.26,True,False,0.0,0.026457513110645915
CURE-OR,139,163,211,16,0.22,0.26,True,True,0.0,0.032659863237109045
CURE-OR,139,163,211,17,0.22,0.26,True,True,0.0,0.03366501646120691
CURE-OR,139,163,211,18,0.22,0.26,True,True,0.0,0.02943920288775949
CURE-OR,139,163,223,2,0.16,0.18,True,False,0.0,0.008164965809277263
CURE-OR,139,163,223,6,0.16,0.18,True,False,0.0,0.018257418583505537
CURE-OR,139,163,223,11,0.22,0.26,True,False,0.0,0.008164965809277256
CURE-OR,139,163,223,12,0.22,0.26,True,False,0.0,0.01825741858350554
CURE-OR,139,163,223,13,0.22,0.26,True,True,0.0,0.0412310562561766
CURE-OR,139,163,223,14,0.22,0.26,True,True,0.0,0.01825741858350555
CURE-OR,139,163,223,15,0.22,0.26,True,False,0.0,0.03214550253664319
CURE-OR,139,163,223,16,0.22,0.26,True,True,0.0,0.038297084310253526
CURE-OR,139,163,223,17,0.22,0.26,True,True,0.0,0.0374165738677394
CURE-OR,139,163,223,18,0.22,0.26,True,True,0.0,0.02449489742783177
CURE-OR,139,163,227,2,0.16,0.18,True,False,0.0,0.008164965809277263
CURE-OR,139,163,227,6,0.16,0.18,True,False,0.0,0.024494897427831785
CURE-OR,139,163,227,11,0.22,0.26,True,False,0.0,0.008164965809277256
