method,type,threshold,cal_timely_rate,cal_false_rate,cal_median_lead,cal_timely,cal_false,cal_cliffs,cal_controls,conf_timely_rate,conf_false_rate,conf_median_lead,conf_timely,conf_false,conf_cliffs,conf_controls,risk_ridge_alpha
Registered Hybrid25,registered,0.87,0.855072463768116,0.07407407407407407,4.0,59,6,69,81,0.9861111111111112,0.038461538461538464,3.0,71,3,72,78,
Time only (refit),refit,0.7163734126946434,0.0,0.0,,0,0,69,81,0.0,0.0,,0,0,72,78,
Static current telemetry (refit),refit,0.5076338734394464,0.8840579710144928,0.07407407407407407,5.0,61,6,69,81,0.8611111111111112,0.038461538461538464,3.0,62,3,72,78,
Static current + net departure-recovery (refit),refit,0.6488271586722439,0.855072463768116,0.07407407407407407,5.0,59,6,69,81,0.9861111111111112,0.038461538461538464,3.0,71,3,72,78,
Static current + persistent departure (refit),refit,0.5149475854899722,0.8840579710144928,0.07407407407407407,5.0,61,6,69,81,0.8611111111111112,0.038461538461538464,3.0,62,3,72,78,
Current active-state telemetry (refit),refit,0.6522391565956982,0.855072463768116,0.07407407407407407,5.0,59,6,69,81,0.9722222222222222,0.038461538461538464,3.0,70,3,72,78,
Entropy-margin trend (refit),refit,0.7121208739982874,0.6521739130434783,0.07407407407407407,5.0,45,6,69,81,0.7916666666666666,0.2564102564102564,2.0,57,20,72,78,
Unsigned shift (refit),refit,0.7636121508048388,0.7536231884057971,0.07407407407407407,3.5,52,6,69,81,0.8888888888888888,0.2692307692307692,3.0,64,21,72,78,
Hybrid25 full temporal (refit),refit,0.7171356971578035,0.8405797101449275,0.07407407407407407,5.0,58,6,69,81,0.8472222222222222,0.01282051282051282,3.0,61,1,72,78,
Estimated current risk,refit,0.5218591873517519,0.391304347826087,0.04938271604938271,3.0,27,4,69,81,0.3888888888888889,0.07692307692307693,2.0,28,6,72,78,0.01
Estimated risk + slope,refit,0.967640876957394,0.3188405797101449,0.07407407407407407,6.0,22,6,69,81,0.7916666666666666,0.1794871794871795,2.0,57,14,72,78,0.01
Risk-proxy CUSUM,refit,0.20282138112364304,0.42028985507246375,0.07407407407407407,2.0,29,6,69,81,0.6805555555555556,0.34615384615384615,3.0,49,27,72,78,0.01
