domain,focal_seed,subset,n,peer_rmse_mean,peer_rmse_median,peer_nrmse_rms_median,anchor_risk_gap_median
CIFAR-10-C,31,all,15,0.012076581263342469,0.0088038627885718,0.1372634095356815,0.01090000000000002
CIFAR-10-C,31,active,15,0.012076581263342469,0.0088038627885718,0.1372634095356815,0.01090000000000002
CIFAR-10-C,31,cliff,12,0.013270757614716433,0.010943834787030201,0.1352641533036006,0.01090000000000002
CIFAR-10-C,47,all,15,0.017044870994762838,0.0097109216864312,0.2508006301250116,0.00019999999999997797
CIFAR-10-C,47,active,15,0.017044870994762838,0.0097109216864312,0.2508006301250116,0.00019999999999997797
CIFAR-10-C,47,cliff,11,0.019243294696376326,0.0121472630662219,0.1641132632929431,0.00019999999999997797
CIFAR-10-C,61,all,15,0.017044870994762835,0.0097109216864312,0.2095348317143983,0.00019999999999997797
CIFAR-10-C,61,active,15,0.017044870994762835,0.0097109216864312,0.2095348317143983,0.00019999999999997797
CIFAR-10-C,61,cliff,12,0.019772290847022252,0.01364393535792535,0.18699003008993514,0.00019999999999997797
CURE-OR,113,all,30,0.026307077601962773,0.02738443711259005,0.9999999999999906,0.019999999999999962
CURE-OR,113,active,27,0.029230086224403082,0.0282842712474619,0.9999999999999906,0.019999999999999962
CURE-OR,113,cliff,15,0.03597643165476726,0.032659863237109,0.718795288428259,0.019999999999999962
CURE-OR,127,all,30,0.025320057369138903,0.0241498294281539,0.8750804338835179,0.020000000000000018
CURE-OR,127,active,27,0.02749189677772142,0.0244948974278317,0.8750804338835179,0.020000000000000018
CURE-OR,127,cliff,12,0.032654114180583886,0.0270731296601864,0.7071067811865468,0.020000000000000018
CURE-OR,139,all,30,0.025169630625919585,0.0254762052692388,0.8433898331293439,0.04000000000000001
CURE-OR,139,active,30,0.025169630625919585,0.0254762052692388,0.8433898331293439,0.04000000000000001
CURE-OR,139,cliff,15,0.034083047252935886,0.0346410161513775,0.5897678246195878,0.04000000000000001
CURE-OR,151,all,30,0.02558147196690969,0.025391378488655948,0.8094272134003788,0.019999999999999962
CURE-OR,151,active,27,0.028423857741010767,0.0282842712474618,0.8094272134003788,0.019999999999999962
CURE-OR,151,cliff,15,0.03597643165476724,0.032659863237109,0.7348469228349532,0.019999999999999962
CURE-OR,163,all,30,0.022773554573798992,0.021981574384845298,0.8003684111372132,0.020000000000000018
CURE-OR,163,active,24,0.02744632249108909,0.026967050157795547,0.8003684111372132,0.020000000000000018
CURE-OR,163,cliff,15,0.03264190220297533,0.0336650164612069,0.6101970382851049,0.020000000000000018
