kind,method,seed,cliffs,timely,controls,false,timely_rate,false_rate,median_lead
static_state,Static current telemetry,113,15,12,15,0,0.8,0.0,2.5
static_state,Static current telemetry,127,12,11,18,3,0.9166666666666666,0.16666666666666666,3.0
static_state,Static current telemetry,139,15,15,15,0,1.0,0.0,3.0
static_state,Static current telemetry,151,15,13,15,0,0.8666666666666667,0.0,3.0
static_state,Static current telemetry,163,15,11,15,0,0.7333333333333333,0.0,4.0
static_plus_net,Static + net prediction-state transport,113,15,15,15,0,1.0,0.0,2.0
static_plus_net,Static + net prediction-state transport,127,12,12,18,3,1.0,0.16666666666666666,2.0
static_plus_net,Static + net prediction-state transport,139,15,15,15,0,1.0,0.0,3.0
static_plus_net,Static + net prediction-state transport,151,15,14,15,0,0.9333333333333333,0.0,3.0
static_plus_net,Static + net prediction-state transport,163,15,15,15,0,1.0,0.0,4.0
static_plus_persistence,Static + persistent departure,113,15,12,15,0,0.8,0.0,2.5
static_plus_persistence,Static + persistent departure,127,12,11,18,3,0.9166666666666666,0.16666666666666666,3.0
static_plus_persistence,Static + persistent departure,139,15,15,15,0,1.0,0.0,3.0
static_plus_persistence,Static + persistent departure,151,15,13,15,0,0.8666666666666667,0.0,3.0
static_plus_persistence,Static + persistent departure,163,15,11,15,0,0.7333333333333333,0.0,4.0
current_state,Static + both proxy channels,113,15,14,15,0,0.9333333333333333,0.0,2.0
current_state,Static + both proxy channels,127,12,12,18,3,1.0,0.16666666666666666,2.0
current_state,Static + both proxy channels,139,15,15,15,0,1.0,0.0,3.0
current_state,Static + both proxy channels,151,15,14,15,0,0.9333333333333333,0.0,3.0
current_state,Static + both proxy channels,163,15,15,15,0,1.0,0.0,4.0
