variant,method,id,seed,schedule_id,family,event,static_timely,variant_timely,static_false,variant_false,timely_gain,false_gain
static_plus_net,Static + net prediction-state transport,confirmation|113|211|2,113,211,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|211|6,113,211,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|211|11,113,211,11,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|211|12,113,211,12,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|211|13,113,211,13,7.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|211|14,113,211,14,2.0,False,True,False,False,1,0
static_plus_net,Static + net prediction-state transport,confirmation|113|211|15,113,211,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|211|16,113,211,16,6.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|211|17,113,211,17,3.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|211|18,113,211,18,3.0,False,True,False,False,1,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|2,113,223,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|6,113,223,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|11,113,223,11,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|12,113,223,12,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|13,113,223,13,9.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|14,113,223,14,2.0,False,True,False,False,1,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|15,113,223,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|16,113,223,16,6.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|17,113,223,17,6.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|223|18,113,223,18,2.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|2,113,227,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|6,113,227,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|11,113,227,11,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|12,113,227,12,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|13,113,227,13,8.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|14,113,227,14,2.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|15,113,227,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|16,113,227,16,6.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|17,113,227,17,3.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|113|227|18,113,227,18,3.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|127|211|2,127,211,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|127|211|6,127,211,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|127|211|11,127,211,11,,False,False,False,False,0,0
