class,background,perspective,role,panel,assignment_sha256
1,1,1,calibration,,84c07c211019dee4e981b5c9da4716521d80726c9ef6acd97eb7898c5ed69aa3
1,1,2,calibration,,71614ea3ba84a8e94919a81eda16e0565b9cbe79311fe2e3f8d24bfd6e4379bd
1,2,1,calibration,,0b429d492fbbb30f6c8ebef0761a7e315f55da024bccb59981261565dd3cdf26
1,2,2,calibration,,29bab79ff0ed4dfe37bf00467df0e80d81905b199ee278291c21bf84ce26c06a
1,2,3,calibration,,6f1026c15bc7d6181c7691c444af66cfb86723ed533bf789638f9da07b3e4161
2,1,3,calibration,,891f803f79828bc9a97ab0833548d7f883fd2e03da29dd0d1d65123b3bfcb0aa
2,1,4,calibration,,9edc35b006cf18fde2c07e9a378dfb0bf4042a0f7f517b5e3e40a55ecd58b660
2,1,5,calibration,,795df3d387a8907f26914b4437abd035dbab76332e4d7c41ae08e0da5c4c8ef7
2,2,1,calibration,,67ae4b3ebd49e6c29886f2c00e13c9cd21c5659db6c31f78f011fc9342633417
2,2,4,calibration,,98e018155cc94001e0d50dcf3ff88ec61b71c419e0a91988c8c0a9b8c30d1fcc
3,1,1,calibration,,87efe672b56db535e9ee4372e23fdd01e39aa17c0f558ab517f3e12b8f9d7736
3,1,4,calibration,,22d770be40548a8d433c6a4ca17033c33e79c82d2491f41fedd43f62e671d18f
3,2,1,calibration,,86183b71d0848b0fdffae650d085aef74fe6c05d690e1660b6fbc1347c3a85eb
3,2,2,calibration,,19b0484e77ce73d66c4d91f458ebede499af6a18935c8c4f176dd927886fd032
3,2,5,calibration,,445ac13084b809da14c032c9123c7281f9947382b6550263ff6f0265ef6d4357
4,1,2,calibration,,84ad8e5a1f4c872f4a915267637a101987c1760f7563939c535b889dfb0c36cb
4,1,4,calibration,,4a29f6b10986a0ad260260e87f076488ac44224955242728447a42952571f675
4,1,5,calibration,,3a830c752d2dad5b396a8a43ebd1e3d872b776a22207f3e6dcd5fe8fbd7b86ca
4,2,1,calibration,,637f2fd6358255c5dc8ef2a9f778984e292df02fc47538aa1b5c4faf7fe46eb3
4,2,3,calibration,,63821a9665f00af2eaf04fe8865b5c6c590717953128dd45f9ea62d005616a17
5,1,1,calibration,,63a46e691a9d9365481d22e816a832945d4192e76608fb8fd04ef78f7cfa41db
5,1,2,calibration,,3eb6f9a4e3303621e951dbf75392ea28e75b335e5fe12f3ccfd6a57313a96757
5,2,2,calibration,,0a24b259fcfbd713593d5ce3bad132e6d98d337cd87e4144b8d0fccd53c34a76
5,2,4,calibration,,5b153b711cead1c06d0ed3fcfca1ceeb2fd50cc017a2d75f2d7fb75c1fac892a
5,2,5,calibration,,11a4fab9201702e566ade6fb2a36462b25299fb82591eb361b914136eeae3386
6,1,1,calibration,,10de9d06046aeda0a46bc9a58372adb7893f18e3712822e865283d0fa7e9e7aa
6,1,3,calibration,,1218b57b9f932e191811738cb458e386b4db896ef64165154a20221394c99860
6,1,4,calibration,,09c2b20375d83fb00adda547a58b66a2fcf0de0bd0b63c849923bf67828f419b
6,2,3,calibration,,04289daa77c80685fe830f62b9ad8de50306e4142f3d901b18614ab123ac74d0
6,2,5,calibration,,4968dbdd8817cedbcc34d06d595549ab765778065451eb5388ddff05dbb806b2
7,1,1,calibration,,7370e411360fd4e45094a99dd770b20c24a9c175011bac9f19b5844c9b034c7b
7,1,4,calibration,,6a66a21cf527d7eaf966457fadd2cf8397ec278f915091a51c0211e5aa5c0b92
7,2,1,calibration,,3c08055406d56bd85d6d9a5716cce24ba5b55725ccab812659e7ddffe33f2dac
7,2,2,calibration,,5fab1cb1e8a7015472743aceefeab8b1c28212d5ec7c6b67c9ca27b6396df985
7,2,3,calibration,,151bb8b4fd57fca30626ae65cd5906170162885d50ecfb98762457c84378bbd8
8,1,2,calibration,,aa31d911475bb9bad1bc57d04db8247c44828ac24a6a7ace554e9a37a53fdb99
8,1,5,calibration,,20140ee03a8b0fdd8b054bdb87dccd1078b8629be0f1f16c47bdf9a14092368a
8,2,1,calibration,,5cbf64d7eafeef8a99857b13189d7ef12f8e21201b0bc4954151693f56649f67
8,2,3,calibration,,15fadf69753088121543ea4be26029a1fa0b8833755f377964d83a28373c809d
8,2,5,calibration,,34a858b3cad2349e047ed7438c358f829d2deeb1ae2754bc5543c076249dd401
9,1,1,calibration,,2272bdd02f177c9c87730a9a7fe4fcdff4dad882e737096510abd0ebf7dbddfb
