image_id,class_index,class,background,perspective,family,family_name,level,fragment,candidate_rank,dense_floor,candidate_sha256
500,0,1,2,1,2,resize,3,2:0,1,1,064cbc0098fd67efaf0636736932af44bb0c9377b5ae0ab59523162820062e61
450,0,1,1,1,2,resize,3,2:0,2,1,1445a538513c400be0f8285efaa6decd2e3685d0410c92ccc4ee8d7b916e9013
560,0,1,3,2,2,resize,3,2:0,3,1,2774ffddc9a3931fe3e516357ac46668a6a26c585773487ca376eca6e961356d
510,0,1,2,2,2,resize,3,2:0,4,0,3b6b28d0dd3e12f430ddb70d340ddb222f5e43f3f57c9e6535f0e3d612506011
520,0,1,2,3,2,resize,3,2:0,5,0,82e6f5728458e7aaf4ed5b08215610f64d73a77b53632d3824f12111e394d47c
480,0,1,1,4,2,resize,3,2:0,6,0,93e1699c61129867bfe2b5ef33ce59d49000774f3618ea41f599f292dcdf9e97
540,0,1,2,5,2,resize,3,2:0,7,0,96b696a48b692d7e913c146f602b0cf76401889b226d6ec0eb0b65da39298573
550,0,1,3,1,2,resize,3,2:0,8,0,997b5daf957c2a3a9fdd4fad68854e7d2016924d5b2627883ae10852586fc869
470,0,1,1,3,2,resize,3,2:0,9,0,a527622ff86ac85ef43a836b97bf632185d4f44d7c03a68b0da763dfb2c69ec7
460,0,1,1,2,2,resize,3,2:0,10,0,abdf29eb157c57b1df3426dc6160a50449a3b4bb64f94957ed15aff7860f5f29
590,0,1,3,5,2,resize,3,2:0,11,0,b39c9e8e0cd10422c57a03570e2948c62d89339e298117caa3e8f754d4695ee1
530,0,1,2,4,2,resize,3,2:0,12,0,b9b4bda969cc7be986c99db6b1fa38181a2775793805a241008736428c1c3023
490,0,1,1,5,2,resize,3,2:0,13,0,dd29219741795ec425974d59b716ad4fbf01b36a0d51f3010d1b32af72bf2eab
580,0,1,3,4,2,resize,3,2:0,14,0,eb1d5432058c7555d1f54f44016b997872a4b57fe7ba7230226ecf3629332786
570,0,1,3,3,2,resize,3,2:0,15,0,ed96ba69f7c7b64be8f235c7b7a98ba0dfab9aa04e232b89b49f409bfcbba031
501,1,2,2,1,2,resize,3,2:1,1,1,07f3f528c0f8aa95b0f7a07cdcf6559c20d0e689bb74155efdc126bc3a60a22e
531,1,2,2,4,2,resize,3,2:1,2,1,0bd1f33115e0adb6639fa55d306fc6b5f7ea11751806e9a9273e30da6b7001c1
471,1,2,1,3,2,resize,3,2:1,3,1,17bdc717fa3dd4844c656c7fe39ca466d0bcdff402c6b657fa4ff4f610b1041a
481,1,2,1,4,2,resize,3,2:1,4,0,3331820555fd0caf0ce55acd4d635a8af89c8c31daa617db4b7f7295eb362b00
491,1,2,1,5,2,resize,3,2:1,5,0,5abebb7836a12e22f2198f2da3a93cf0156fbe4a85898daba5d125c86435a979
561,1,2,3,2,2,resize,3,2:1,6,0,633c141b5ed14dd98cf84c955031870aa29b8c6dfb7f620523e5dc3d4c13156e
571,1,2,3,3,2,resize,3,2:1,7,0,9c59d9fe659d953ed48506d18c024597eda73e267a3cfbf2097da110e57bcc1c
521,1,2,2,3,2,resize,3,2:1,8,0,a1013630cb5f79ed8979d48f3aa09dbb27cd6d47bb0f27f0950a2e484bae42cf
551,1,2,3,1,2,resize,3,2:1,9,0,a494c82ee4859d1f8ab333bbf818cb3ee68068e15aad9f35aeb04b51aae6dfe1
461,1,2,1,2,2,resize,3,2:1,10,0,c83e081b9208386ad700cc325962adad48449fba9b8dd0ae553808cab3664364
511,1,2,2,2,2,resize,3,2:1,11,0,c9dca2fdd654a9a30bb3e14513b61f1e51f3d1dcdc5345fd3714993108bf7801
581,1,2,3,4,2,resize,3,2:1,12,0,dafcf80ac1238c66a7c02ee77880477bc675cca9137f5786bdedeac852c4a65f
591,1,2,3,5,2,resize,3,2:1,13,0,e2bfe827cb396c02404e83770fc9b8e0de608ddb0ec5eff6819ba568cd44952d
451,1,2,1,1,2,resize,3,2:1,14,0,e36f7b3376266235aaefac1dc8d923bbcce07e68a4cc3351af3699e8ba58e6e9
541,1,2,2,5,2,resize,3,2:1,15,0,fc29101709b19281694368552ce20f301598dfd3d5bfd6c43465c084cbf6f717
592,2,3,3,5,2,resize,3,2:2,1,1,0622865289515a93fc991d01cea08590d0dcd79a3d2d9f554a4ff8c3603b2a2e
522,2,3,2,3,2,resize,3,2:2,2,1,13771bdd3bac1f70b38bb75ca130f01b6b9351acd8e5c0b7e45560f3ad100344
492,2,3,1,5,2,resize,3,2:2,3,1,2b94d161064de8faccc4a0e06495da967dd7ea24d2fef46b29d028696b514c89
582,2,3,3,4,2,resize,3,2:2,4,0,2d06f43018041916718786b1fa6a343d639744b6d4261947301863e313f5da0a
472,2,3,1,3,2,resize,3,2:2,5,0,2f17af1226b7d3463c9918359de017a65e16a1b5e49c5570141857f43f301578
562,2,3,3,2,2,resize,3,2:2,6,0,4c8d015f089c2f322b99980842b7c54609bc42e5a766790cf65a21c3ef7ebbb1
462,2,3,1,2,2,resize,3,2:2,7,0,6b0304d641ee3145b9067233e32fc2137d01ef4ee8773ffbae7e552e0a73d2da
452,2,3,1,1,2,resize,3,2:2,8,0,7820dde0e1ec96ff03e987ef50c1803054c3996fdaa73c4e272cd6559481eba4
482,2,3,1,4,2,resize,3,2:2,9,0,7efed51971a7d84d392a872a14e309c1ca7eaba961343d45e87d5c10acb60351
532,2,3,2,4,2,resize,3,2:2,10,0,8ef3600b24478478827e5cf45e1f33414a1d38582322b7b05a89c3494a525463
552,2,3,3,1,2,resize,3,2:2,11,0,a36c71d561055095fe722dde489612258064b05afbf0e2388dc4dad2e978fa10
512,2,3,2,2,2,resize,3,2:2,12,0,c3656f8ea5e29edb60d2ff4cb043501c9a0e1203a90e275087925e16295e0800
502,2,3,2,1,2,resize,3,2:2,13,0,d859edb9e30d23bacb0ea7bc4ed0e9f29829df8f4eebd7981239308c80f43d58
542,2,3,2,5,2,resize,3,2:2,14,0,e4f74545e7bf7f03a4efa02834f31d0d52ba07690227157b93434db54047d34f
572,2,3,3,3,2,resize,3,2:2,15,0,e916b3c3c2ad369de3127d82defbfc334336ca6cd9f33c925f984aebbcb11f95
593,3,4,3,5,2,resize,3,2:3,1,1,00ac48ae0fd14afd909215f7ffd78003d16ece341a3db9f33543fd782d731375
493,3,4,1,5,2,resize,3,2:3,2,1,18664e2e16a35a6bd5851cce16fdc30598570b72f577552005958d47664b35e9
