image_id,class_index,class,background,perspective
0,0,1,1,1
1,1,2,1,1
2,2,3,1,1
3,3,4,1,1
4,4,5,1,1
5,5,6,1,1
6,6,7,1,1
7,7,8,1,1
8,8,9,1,1
9,9,10,1,1
10,0,1,1,2
11,1,2,1,2
12,2,3,1,2
13,3,4,1,2
14,4,5,1,2
15,5,6,1,2
16,6,7,1,2
17,7,8,1,2
18,8,9,1,2
19,9,10,1,2
20,0,1,1,3
21,1,2,1,3
22,2,3,1,3
23,3,4,1,3
24,4,5,1,3
25,5,6,1,3
26,6,7,1,3
27,7,8,1,3
28,8,9,1,3
29,9,10,1,3
30,0,1,1,4
31,1,2,1,4
32,2,3,1,4
33,3,4,1,4
34,4,5,1,4
35,5,6,1,4
36,6,7,1,4
37,7,8,1,4
38,8,9,1,4
39,9,10,1,4
40,0,1,1,5
41,1,2,1,5
42,2,3,1,5
43,3,4,1,5
44,4,5,1,5
45,5,6,1,5
46,6,7,1,5
47,7,8,1,5
48,8,9,1,5
49,9,10,1,5
50,0,1,2,1
51,1,2,2,1
52,2,3,2,1
53,3,4,2,1
54,4,5,2,1
55,5,6,2,1
56,6,7,2,1
57,7,8,2,1
58,8,9,2,1
59,9,10,2,1
60,0,1,2,2
61,1,2,2,2
62,2,3,2,2
63,3,4,2,2
64,4,5,2,2
65,5,6,2,2
66,6,7,2,2
67,7,8,2,2
68,8,9,2,2
69,9,10,2,2
70,0,1,2,3
71,1,2,2,3
72,2,3,2,3
73,3,4,2,3
74,4,5,2,3
75,5,6,2,3
76,6,7,2,3
77,7,8,2,3
78,8,9,2,3
79,9,10,2,3
80,0,1,2,4
81,1,2,2,4
82,2,3,2,4
83,3,4,2,4
84,4,5,2,4
85,5,6,2,4
86,6,7,2,4
87,7,8,2,4
88,8,9,2,4
89,9,10,2,4
90,0,1,2,5
91,1,2,2,5
92,2,3,2,5
93,3,4,2,5
94,4,5,2,5
95,5,6,2,5
96,6,7,2,5
97,7,8,2,5
98,8,9,2,5
99,9,10,2,5
100,0,1,3,1
101,1,2,3,1
102,2,3,3,1
103,3,4,3,1
104,4,5,3,1
105,5,6,3,1
106,6,7,3,1
107,7,8,3,1
108,8,9,3,1
109,9,10,3,1
110,0,1,3,2
111,1,2,3,2
112,2,3,3,2
113,3,4,3,2
114,4,5,3,2
115,5,6,3,2
116,6,7,3,2
117,7,8,3,2
118,8,9,3,2
119,9,10,3,2
120,0,1,3,3
121,1,2,3,3
122,2,3,3,3
123,3,4,3,3
124,4,5,3,3
125,5,6,3,3
126,6,7,3,3
127,7,8,3,3
128,8,9,3,3
129,9,10,3,3
130,0,1,3,4
131,1,2,3,4
132,2,3,3,4
133,3,4,3,4
134,4,5,3,4
135,5,6,3,4
136,6,7,3,4
137,7,8,3,4
138,8,9,3,4
139,9,10,3,4
140,0,1,3,5
141,1,2,3,5
142,2,3,3,5
143,3,4,3,5
144,4,5,3,5
145,5,6,3,5
146,6,7,3,5
147,7,8,3,5
148,8,9,3,5
149,9,10,3,5
