imageID,class,background,perspective,challengeType,challengeLevel
0,1,1,1,1,0
1,2,1,1,1,0
2,3,1,1,1,0
3,4,1,1,1,0
4,5,1,1,1,0
5,6,1,1,1,0
6,7,1,1,1,0
7,8,1,1,1,0
8,9,1,1,1,0
9,10,1,1,1,0
10,1,1,2,1,0
11,2,1,2,1,0
12,3,1,2,1,0
13,4,1,2,1,0
14,5,1,2,1,0
15,6,1,2,1,0
16,7,1,2,1,0
17,8,1,2,1,0
18,9,1,2,1,0
19,10,1,2,1,0
20,1,1,3,1,0
21,2,1,3,1,0
22,3,1,3,1,0
23,4,1,3,1,0
24,5,1,3,1,0
25,6,1,3,1,0
26,7,1,3,1,0
27,8,1,3,1,0
28,9,1,3,1,0
29,10,1,3,1,0
30,1,1,4,1,0
31,2,1,4,1,0
32,3,1,4,1,0
33,4,1,4,1,0
34,5,1,4,1,0
35,6,1,4,1,0
36,7,1,4,1,0
37,8,1,4,1,0
38,9,1,4,1,0
39,10,1,4,1,0
40,1,1,5,1,0
41,2,1,5,1,0
42,3,1,5,1,0
43,4,1,5,1,0
44,5,1,5,1,0
45,6,1,5,1,0
46,7,1,5,1,0
47,8,1,5,1,0
48,9,1,5,1,0
49,10,1,5,1,0
50,1,2,1,1,0
51,2,2,1,1,0
52,3,2,1,1,0
53,4,2,1,1,0
54,5,2,1,1,0
55,6,2,1,1,0
56,7,2,1,1,0
57,8,2,1,1,0
58,9,2,1,1,0
59,10,2,1,1,0
60,1,2,2,1,0
61,2,2,2,1,0
62,3,2,2,1,0
63,4,2,2,1,0
64,5,2,2,1,0
65,6,2,2,1,0
66,7,2,2,1,0
67,8,2,2,1,0
68,9,2,2,1,0
69,10,2,2,1,0
70,1,2,3,1,0
71,2,2,3,1,0
72,3,2,3,1,0
73,4,2,3,1,0
74,5,2,3,1,0
75,6,2,3,1,0
76,7,2,3,1,0
77,8,2,3,1,0
78,9,2,3,1,0
79,10,2,3,1,0
80,1,2,4,1,0
81,2,2,4,1,0
82,3,2,4,1,0
83,4,2,4,1,0
84,5,2,4,1,0
85,6,2,4,1,0
86,7,2,4,1,0
87,8,2,4,1,0
88,9,2,4,1,0
89,10,2,4,1,0
90,1,2,5,1,0
91,2,2,5,1,0
92,3,2,5,1,0
93,4,2,5,1,0
94,5,2,5,1,0
95,6,2,5,1,0
96,7,2,5,1,0
97,8,2,5,1,0
98,9,2,5,1,0
99,10,2,5,1,0
100,1,3,1,1,0
101,2,3,1,1,0
102,3,3,1,1,0
103,4,3,1,1,0
104,5,3,1,1,0
105,6,3,1,1,0
106,7,3,1,1,0
107,8,3,1,1,0
108,9,3,1,1,0
109,10,3,1,1,0
110,1,3,2,1,0
111,2,3,2,1,0
112,3,3,2,1,0
113,4,3,2,1,0
114,5,3,2,1,0
115,6,3,2,1,0
116,7,3,2,1,0
117,8,3,2,1,0
118,9,3,2,1,0
119,10,3,2,1,0
120,1,3,3,1,0
121,2,3,3,1,0
122,3,3,3,1,0
123,4,3,3,1,0
124,5,3,3,1,0
125,6,3,3,1,0
126,7,3,3,1,0
127,8,3,3,1,0
128,9,3,3,1,0
129,10,3,3,1,0
130,1,3,4,1,0
131,2,3,4,1,0
132,3,3,4,1,0
133,4,3,4,1,0
134,5,3,4,1,0
135,6,3,4,1,0
136,7,3,4,1,0
137,8,3,4,1,0
138,9,3,4,1,0
139,10,3,4,1,0
140,1,3,5,1,0
141,2,3,5,1,0
142,3,3,5,1,0
143,4,3,5,1,0
144,5,3,5,1,0
145,6,3,5,1,0
146,7,3,5,1,0
147,8,3,5,1,0
148,9,3,5,1,0
149,10,3,5,1,0
150,1,1,1,2,1
151,2,1,1,2,1
152,3,1,1,2,1
153,4,1,1,2,1
154,5,1,1,2,1
155,6,1,1,2,1
156,7,1,1,2,1
157,8,1,1,2,1
158,9,1,1,2,1
159,10,1,1,2,1
160,1,1,2,2,1
161,2,1,2,2,1
162,3,1,2,2,1
163,4,1,2,2,1
164,5,1,2,2,1
165,6,1,2,2,1
166,7,1,2,2,1
167,8,1,2,2,1
168,9,1,2,2,1
169,10,1,2,2,1
170,1,1,3,2,1
171,2,1,3,2,1
172,3,1,3,2,1
173,4,1,3,2,1
174,5,1,3,2,1
175,6,1,3,2,1
176,7,1,3,2,1
177,8,1,3,2,1
178,9,1,3,2,1
179,10,1,3,2,1
180,1,1,4,2,1
181,2,1,4,2,1
182,3,1,4,2,1
183,4,1,4,2,1
184,5,1,4,2,1
185,6,1,4,2,1
186,7,1,4,2,1
187,8,1,4,2,1
188,9,1,4,2,1
189,10,1,4,2,1
190,1,1,5,2,1
191,2,1,5,2,1
192,3,1,5,2,1
193,4,1,5,2,1
194,5,1,5,2,1
195,6,1,5,2,1
196,7,1,5,2,1
197,8,1,5,2,1
198,9,1,5,2,1
199,10,1,5,2,1
200,1,2,1,2,1
201,2,2,1,2,1
202,3,2,1,2,1
203,4,2,1,2,1
204,5,2,1,2,1
205,6,2,1,2,1
206,7,2,1,2,1
207,8,2,1,2,1
208,9,2,1,2,1
209,10,2,1,2,1
210,1,2,2,2,1
211,2,2,2,2,1
212,3,2,2,2,1
213,4,2,2,2,1
214,5,2,2,2,1
215,6,2,2,2,1
216,7,2,2,2,1
217,8,2,2,2,1
218,9,2,2,2,1
219,10,2,2,2,1
220,1,2,3,2,1
221,2,2,3,2,1
222,3,2,3,2,1
223,4,2,3,2,1
224,5,2,3,2,1
225,6,2,3,2,1
226,7,2,3,2,1
227,8,2,3,2,1
228,9,2,3,2,1
229,10,2,3,2,1
230,1,2,4,2,1
231,2,2,4,2,1
232,3,2,4,2,1
233,4,2,4,2,1
234,5,2,4,2,1
235,6,2,4,2,1
236,7,2,4,2,1
237,8,2,4,2,1
238,9,2,4,2,1
239,10,2,4,2,1
240,1,2,5,2,1
241,2,2,5,2,1
242,3,2,5,2,1
243,4,2,5,2,1
244,5,2,5,2,1
245,6,2,5,2,1
246,7,2,5,2,1
247,8,2,5,2,1
248,9,2,5,2,1
249,10,2,5,2,1
250,1,3,1,2,1
251,2,3,1,2,1
252,3,3,1,2,1
253,4,3,1,2,1
254,5,3,1,2,1
255,6,3,1,2,1
256,7,3,1,2,1
257,8,3,1,2,1
258,9,3,1,2,1
259,10,3,1,2,1
260,1,3,2,2,1
261,2,3,2,2,1
262,3,3,2,2,1
263,4,3,2,2,1
264,5,3,2,2,1
265,6,3,2,2,1
266,7,3,2,2,1
267,8,3,2,2,1
268,9,3,2,2,1
269,10,3,2,2,1
270,1,3,3,2,1
271,2,3,3,2,1
272,3,3,3,2,1
273,4,3,3,2,1
274,5,3,3,2,1
275,6,3,3,2,1
276,7,3,3,2,1
277,8,3,3,2,1
278,9,3,3,2,1
279,10,3,3,2,1
280,1,3,4,2,1
281,2,3,4,2,1
282,3,3,4,2,1
283,4,3,4,2,1
284,5,3,4,2,1
285,6,3,4,2,1
286,7,3,4,2,1
287,8,3,4,2,1
288,9,3,4,2,1
289,10,3,4,2,1
290,1,3,5,2,1
291,2,3,5,2,1
292,3,3,5,2,1
293,4,3,5,2,1
294,5,3,5,2,1
295,6,3,5,2,1
296,7,3,5,2,1
297,8,3,5,2,1
298,9,3,5,2,1
299,10,3,5,2,1
300,1,1,1,2,2
301,2,1,1,2,2
302,3,1,1,2,2
303,4,1,1,2,2
304,5,1,1,2,2
305,6,1,1,2,2
306,7,1,1,2,2
307,8,1,1,2,2
308,9,1,1,2,2
309,10,1,1,2,2
310,1,1,2,2,2
311,2,1,2,2,2
312,3,1,2,2,2
313,4,1,2,2,2
314,5,1,2,2,2
315,6,1,2,2,2
316,7,1,2,2,2
317,8,1,2,2,2
318,9,1,2,2,2
319,10,1,2,2,2
320,1,1,3,2,2
321,2,1,3,2,2
322,3,1,3,2,2
323,4,1,3,2,2
324,5,1,3,2,2
325,6,1,3,2,2
326,7,1,3,2,2
327,8,1,3,2,2
328,9,1,3,2,2
329,10,1,3,2,2
330,1,1,4,2,2
331,2,1,4,2,2
332,3,1,4,2,2
333,4,1,4,2,2
334,5,1,4,2,2
335,6,1,4,2,2
336,7,1,4,2,2
337,8,1,4,2,2
338,9,1,4,2,2
339,10,1,4,2,2
340,1,1,5,2,2
341,2,1,5,2,2
342,3,1,5,2,2
343,4,1,5,2,2
344,5,1,5,2,2
345,6,1,5,2,2
346,7,1,5,2,2
347,8,1,5,2,2
348,9,1,5,2,2
349,10,1,5,2,2
350,1,2,1,2,2
351,2,2,1,2,2
352,3,2,1,2,2
353,4,2,1,2,2
354,5,2,1,2,2
355,6,2,1,2,2
356,7,2,1,2,2
357,8,2,1,2,2
358,9,2,1,2,2
359,10,2,1,2,2
360,1,2,2,2,2
361,2,2,2,2,2
362,3,2,2,2,2
363,4,2,2,2,2
364,5,2,2,2,2
365,6,2,2,2,2
366,7,2,2,2,2
367,8,2,2,2,2
368,9,2,2,2,2
369,10,2,2,2,2
370,1,2,3,2,2
371,2,2,3,2,2
372,3,2,3,2,2
373,4,2,3,2,2
374,5,2,3,2,2
375,6,2,3,2,2
376,7,2,3,2,2
377,8,2,3,2,2
378,9,2,3,2,2
379,10,2,3,2,2
380,1,2,4,2,2
381,2,2,4,2,2
382,3,2,4,2,2
383,4,2,4,2,2
384,5,2,4,2,2
385,6,2,4,2,2
386,7,2,4,2,2
387,8,2,4,2,2
388,9,2,4,2,2
389,10,2,4,2,2
390,1,2,5,2,2
391,2,2,5,2,2
392,3,2,5,2,2
393,4,2,5,2,2
394,5,2,5,2,2
395,6,2,5,2,2
396,7,2,5,2,2
397,8,2,5,2,2
398,9,2,5,2,2
399,10,2,5,2,2
400,1,3,1,2,2
401,2,3,1,2,2
402,3,3,1,2,2
403,4,3,1,2,2
404,5,3,1,2,2
405,6,3,1,2,2
406,7,3,1,2,2
407,8,3,1,2,2
408,9,3,1,2,2
409,10,3,1,2,2
410,1,3,2,2,2
